region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,8.398,3259,5.108,0.2700,4,+0.975,-0.192,0.2161,0.1804,1.3018,0.6003,0.1255,0.1391,1.6812,1.3294,44.67,1.8252,42.84,40.40,61.71,70.64,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7101,375.9,True,1
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,8.402,3259,5.284,0.2700,2,+0.984,-0.130,0.1954,0.1434,0.9629,0.6767,0.1347,0.1027,1.3657,1.1269,47.91,0.8813,47.03,44.07,61.12,71.04,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7102,181.7,True,0
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,8.403,3259,5.265,0.2700,2,+0.987,-0.136,0.1653,0.1336,0.6206,0.3174,0.1195,0.1041,1.0088,0.7882,46.53,0.8848,45.65,42.76,55.77,71.36,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7103,182.4,True,0
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,8.315,3259,4.778,0.2700,6,+0.903,-0.309,0.3071,0.2314,1.7980,0.3667,0.1845,0.1760,2.1751,1.3935,49.20,2.8984,46.30,42.93,57.50,70.26,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7104,602.8,True,2
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,8.400,3259,5.356,0.2700,2,+0.984,-0.104,0.1893,0.1408,1.4676,1.0975,0.1073,0.0983,1.7682,1.3915,45.15,0.8692,44.28,41.86,60.24,70.41,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7105,179.3,True,0
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,8.298,3259,4.484,0.2700,6,+0.886,-0.413,0.2146,0.2245,1.0375,0.0893,0.1456,0.1679,1.3758,1.1981,43.39,3.0855,40.30,37.53,49.05,67.36,False,True,True,True,True,False,gu_below_target(67.4<70),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7106,642.4,True,2
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,8.402,3259,5.272,0.2700,2,+0.984,-0.134,0.1613,0.1204,0.7176,0.4341,0.1122,0.0911,1.0729,0.8716,45.26,0.8831,44.38,41.34,55.45,71.14,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7107,182.1,True,0
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,8.400,3259,5.153,0.2700,4,+0.979,-0.176,0.2861,0.1995,1.3410,0.5243,0.1898,0.1531,1.7697,1.3970,40.13,1.8087,38.32,35.89,50.42,64.53,False,True,True,True,True,False,gu_below_target(64.5<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7108,372.6,True,1
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,8.395,3259,4.947,0.2700,4,+0.968,-0.249,0.1914,0.1681,0.8961,0.1872,0.1342,0.1268,1.2688,0.9008,41.95,1.8836,40.07,37.22,55.08,68.97,False,True,True,True,True,False,gu_below_target(69.0<70),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7109,388.2,True,1
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,8.401,3259,5.325,0.2700,2,+0.984,-0.115,0.1909,0.1371,1.0593,0.7569,0.1238,0.1016,1.4694,1.1716,43.00,0.8745,42.13,39.89,57.47,70.29,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7110,180.3,True,0
